Energy[eV], cRate[m3s-1]
4.086942169,1.09E-20
4.185726959,1.44E-20
4.28451175,1.91E-20
4.334646888,2.54E-20
4.384782026,3.36E-20
4.435288535,4.78E-20
4.534444697,6.79E-20
4.584579835,9.00E-20
4.683364625,1.19E-19
4.733871134,1.70E-19
4.833027296,2.41E-19
4.883533805,3.43E-19
4.982318595,4.54E-19
5.032825105,6.46E-19
5.083331614,9.18E-19
5.133466752,1.22E-18
5.18360189,1.61E-18
5.234108399,2.29E-18
5.284614908,3.26E-18
5.285729023,4.02E-18
5.385256556,6.13E-18
5.435763065,8.72E-18
5.534547855,1.16E-17
5.584311622,1.43E-17
5.634818131,2.03E-17
5.734345664,3.09E-17
5.881780107,4.10E-17
6.029585921,5.83E-17
6.177391735,8.30E-17
6.37347583,1.10E-16
6.569931296,1.56E-16
6.766015391,2.07E-16
7.010377767,2.56E-16
7.255111515,3.40E-16
7.499473891,4.20E-16
7.694815243,4.84E-16
7.938806247,5.58E-16
8.134147599,6.42E-16
8.378138604,7.40E-16
8.62250098,9.15E-16
8.76919268,1.05E-15
9.061461965,1.13E-15
9.30545297,1.30E-15
9.500422951,1.40E-15
9.792692236,1.50E-15
10.03631187,1.61E-15
10.2799315,1.73E-15
10.47527285,2.00E-15
10.66987146,2.00E-15
10.9134911,2.15E-15
11.15711073,2.30E-15
11.44938002,2.47E-15
11.59532897,2.48E-15
11.83894861,2.66E-15
12.08219687,2.66E-15
12.3258165,2.86E-15
12.56906476,2.86E-15
12.8126844,3.07E-15
13.00765438,3.30E-15
13.20225299,3.30E-15
13.4941509,3.30E-15
13.68912088,3.55E-15
13.88371949,3.55E-15
14.12733912,3.81E-15
14.41923704,3.82E-15
14.6624853,3.82E-15
14.90610493,4.10E-15
15.05205389,4.11E-15
15.29530215,4.11E-15
15.48990076,4.11E-15
15.68487074,4.41E-15
15.928119,4.42E-15
