Energy[eV], cRate[m3s-1]
5.449132435,1.10E-20
5.499267573,1.45E-20
5.54903134,1.79E-20
5.550516825,2.38E-20
5.601394706,3.62E-20
5.603994306,5.93E-20
5.605851163,8.42E-20
5.705378696,1.29E-19
5.706864181,1.70E-19
5.708349667,2.26E-19
5.758113433,2.79E-19
5.858755081,5.25E-19
5.909632961,8.00E-19
5.91186119,1.22E-18
6.011017351,1.73E-18
6.012502837,2.30E-18
6.062637975,3.04E-18
6.112773113,4.03E-18
6.212672017,6.60E-18
6.31219955,1.01E-17
6.411727083,1.54E-17
6.559161526,2.04E-17
6.609296664,2.70E-17
6.707710083,3.33E-17
6.806123502,4.12E-17
6.904908292,5.46E-17
7.053085477,8.32E-17
7.201262663,1.27E-16
7.398089501,1.94E-16
7.594544967,2.76E-16
7.741236667,3.17E-16
7.839650086,3.92E-16
7.986341785,4.52E-16
8.133776228,5.99E-16
8.378509975,7.94E-16
8.57459407,1.05E-15
8.867606099,1.30E-15
9.160989498,1.73E-15
9.454001527,2.13E-15
9.64971425,2.64E-15
9.844684231,2.83E-15
9.99100456,3.04E-15
10.13732489,3.26E-15
10.38131589,3.76E-15
10.72297757,4.65E-15
10.96696858,5.35E-15
11.21058821,5.75E-15
11.40555819,6.17E-15
11.55187852,6.62E-15
11.69819885,7.11E-15
11.84451918,7.63E-15
12.03948916,8.20E-15
12.28310879,8.80E-15
12.52635705,8.81E-15
12.81899771,1.02E-14
13.111267,1.09E-14
13.25758732,1.17E-14
13.45218593,1.17E-14
13.69580557,1.26E-14
13.89040418,1.26E-14
14.08537416,1.35E-14
14.37764344,1.45E-14
14.71856238,1.56E-14
14.96181064,1.56E-14
15.10813097,1.68E-14
15.3517506,1.80E-14
15.64401989,1.93E-14
15.88726815,1.93E-14
16.13088778,2.08E-14
