TITLE     = "DT Interpolated Flow Field"
VARIABLES = "X_m"
"Ne"
"Ni"
ZONE T="Extracted Points"
 STRANDID=0, SOLUTIONTIME=0
 I=99, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE )
 0.000000000E+00 1.747166098E-04 4.666205143E+14
 2.565656614E-04 2.795860637E-04 5.061632716E+14
 5.131313228E-04 7.158231456E-04 5.462250152E+14
 7.696969551E-04 2.397977747E-03 5.928748025E+14
 1.026262646E-03 8.075848222E-03 6.467859702E+14
 1.282828278E-03 2.478631958E-02 7.098337413E+14
 1.539393910E-03 6.526996195E-02 7.855707248E+14
 1.795959543E-03 1.471331865E-01 8.783530914E+14
 2.052525291E-03 2.982006669E-01 9.960136534E+14
 2.309090924E-03 5.299037099E-01 1.145704404E+15
 2.565656556E-03 8.314945102E-01 1.333325487E+15
 2.822222188E-03 1.180657268E+00 1.561249469E+15
 3.078787820E-03 1.549947500E+00 1.823383805E+15
 3.335353453E-03 1.915836096E+00 2.106182035E+15
 3.591919085E-03 2.259139061E+00 2.392163371E+15
 3.848484950E-03 2.567155123E+00 2.661205492E+15
 4.105050582E-03 2.840615511E+00 2.907382280E+15
 4.361615982E-03 3.081322432E+00 3.128763953E+15
 4.618181847E-03 3.291883945E+00 3.325406883E+15
 4.874747247E-03 3.468822002E+00 3.492580969E+15
 5.131313112E-03 3.616980553E+00 3.634706269E+15
 5.387878977E-03 3.747676134E+00 3.761035215E+15
 5.644444376E-03 3.863490105E+00 3.873657848E+15
 5.901010241E-03 3.958468676E+00 3.966497861E+15
 6.157575641E-03 4.045271397E+00 4.051504927E+15
 6.414141506E-03 4.124183655E+00 4.128952583E+15
 6.670706905E-03 4.191219807E+00 4.195099911E+15
 6.927272771E-03 4.254184246E+00 4.257303922E+15
 7.183838170E-03 4.311126709E+00 4.313665973E+15
 7.440404035E-03 4.362299442E+00 4.364420944E+15
 7.696969900E-03 4.411110878E+00 4.412884549E+15
 7.953535765E-03 4.453836441E+00 4.455507000E+15
 8.210101165E-03 4.494659901E+00 4.496229463E+15
 8.466666564E-03 4.531440258E+00 4.532914927E+15
 8.723231964E-03 4.565314293E+00 4.566703434E+15
 8.979798295E-03 4.596669197E+00 4.597979386E+15
 9.236363694E-03 4.624549389E+00 4.625811311E+15
 9.492929094E-03 4.650956631E+00 4.652182410E+15
 9.749494493E-03 4.673572540E+00 4.674767496E+15
 1.000606082E-02 4.695356369E+00 4.696521505E+15
 1.026262622E-02 4.713308334E+00 4.714461047E+15
 1.051919162E-02 4.730780602E+00 4.731923847E+15
 1.077575795E-02 4.744542122E+00 4.745691901E+15
 1.103232335E-02 4.757931232E+00 4.759089515E+15
 1.128888875E-02 4.767856598E+00 4.769028069E+15
 1.154545415E-02 4.777309895E+00 4.778494714E+15
 1.180202048E-02 4.783711433E+00 4.784926428E+15
 1.205858588E-02 4.789360523E+00 4.790610280E+15
 1.231515128E-02 4.792454720E+00 4.793750438E+15
 1.257171761E-02 4.794322014E+00 4.795669215E+15
 1.282828301E-02 4.794302940E+00 4.795704648E+15
 1.308484841E-02 4.792397976E+00 4.793856202E+15
 1.334141381E-02 4.789262772E+00 4.790784226E+15
 1.359798014E-02 4.783566475E+00 4.785164798E+15
