x_m,Ni_m3,Ni_m3,Ni_m3,Ni_m3
0,4.44E+14,4.44E+14,4.44E+14,4.44E+14
0.000254,4.69E+14,4.69E+14,4.69E+14,4.69E+14
0.000508,5.03E+14,5.03E+14,5.03E+14,5.03E+14
0.000762,5.43E+14,5.43E+14,5.43E+14,5.43E+14
0.001016,5.91E+14,5.91E+14,5.91E+14,5.91E+14
0.00127,6.54E+14,6.54E+14,6.54E+14,6.54E+14
0.001524,7.53E+14,7.53E+14,7.53E+14,7.53E+14
0.001778,8.68E+14,8.68E+14,8.68E+14,8.68E+14
0.002032,9.86E+14,9.86E+14,9.86E+14,9.86E+14
0.002286,1.13E+15,1.13E+15,1.13E+15,1.13E+15
0.00254,1.33E+15,1.33E+15,1.33E+15,1.33E+15
0.002794,1.61E+15,1.61E+15,1.61E+15,1.61E+15
0.003048,1.92E+15,1.92E+15,1.92E+15,1.92E+15
0.003302,2.19E+15,2.19E+15,2.19E+15,2.19E+15
0.003556,2.59E+15,2.59E+15,2.59E+15,2.59E+15
0.00381,2.85E+15,2.85E+15,2.85E+15,2.85E+15
0.004064,3.05E+15,3.05E+15,3.05E+15,3.05E+15
0.004318,3.38E+15,3.38E+15,3.38E+15,3.38E+15
0.004572,3.60E+15,3.60E+15,3.60E+15,3.60E+15
0.004826,3.75E+15,3.75E+15,3.75E+15,3.75E+15
0.00508,3.86E+15,3.86E+15,3.86E+15,3.86E+15
0.005334,3.96E+15,3.96E+15,3.96E+15,3.96E+15
0.005588,4.05E+15,4.05E+15,4.05E+15,4.05E+15
0.005842,4.13E+15,4.13E+15,4.13E+15,4.13E+15
0.006096,4.20E+15,4.20E+15,4.20E+15,4.20E+15
0.00635,4.27E+15,4.27E+15,4.27E+15,4.27E+15
0.006604,4.34E+15,4.34E+15,4.34E+15,4.34E+15
0.006858,4.40E+15,4.40E+15,4.40E+15,4.40E+15
0.007112,4.46E+15,4.46E+15,4.46E+15,4.46E+15
0.007366,4.51E+15,4.51E+15,4.51E+15,4.51E+15
0.00762,4.56E+15,4.56E+15,4.56E+15,4.56E+15
0.007874,4.59E+15,4.59E+15,4.59E+15,4.59E+15
0.008128,4.62E+15,4.62E+15,4.62E+15,4.62E+15
0.008382,4.64E+15,4.64E+15,4.64E+15,4.64E+15
0.008636,4.67E+15,4.67E+15,4.67E+15,4.67E+15
0.00889,4.69E+15,4.69E+15,4.69E+15,4.69E+15
0.009144,4.71E+15,4.71E+15,4.71E+15,4.71E+15
0.009398,4.73E+15,4.73E+15,4.73E+15,4.73E+15
0.009652,4.75E+15,4.75E+15,4.75E+15,4.75E+15
0.009906,4.78E+15,4.78E+15,4.78E+15,4.78E+15
0.01016,4.81E+15,4.81E+15,4.81E+15,4.81E+15
0.010414,4.83E+15,4.83E+15,4.83E+15,4.83E+15
0.010668,4.85E+15,4.85E+15,4.85E+15,4.85E+15
0.010922,4.86E+15,4.86E+15,4.86E+15,4.86E+15
0.011176,4.87E+15,4.87E+15,4.87E+15,4.87E+15
0.01143,4.87E+15,4.87E+15,4.87E+15,4.87E+15
0.011684,4.86E+15,4.86E+15,4.86E+15,4.86E+15
0.011938,4.86E+15,4.86E+15,4.86E+15,4.86E+15
0.012192,4.86E+15,4.86E+15,4.86E+15,4.86E+15
0.012446,4.86E+15,4.86E+15,4.86E+15,4.86E+15
0.0127,4.85E+15,4.85E+15,4.85E+15,4.85E+15
0.012954,4.85E+15,4.85E+15,4.85E+15,4.85E+15
0.013208,4.85E+15,4.85E+15,4.85E+15,4.85E+15
0.013462,4.85E+15,4.85E+15,4.85E+15,4.85E+15
0.013716,4.84E+15,4.84E+15,4.84E+15,4.84E+15
0.01397,4.84E+15,4.84E+15,4.84E+15,4.84E+15
0.014224,4.84E+15,4.84E+15,4.84E+15,4.84E+15
0.014478,4.84E+15,4.84E+15,4.84E+15,4.84E+15
0.014732,4.83E+15,4.83E+15,4.83E+15,4.83E+15
0.014986,4.83E+15,4.83E+15,4.83E+15,4.83E+15
0.01524,4.81E+15,4.81E+15,4.81E+15,4.81E+15
0.015494,4.80E+15,4.80E+15,4.80E+15,4.80E+15
0.015748,4.77E+15,4.77E+15,4.77E+15,4.77E+15
0.016002,4.75E+15,4.75E+15,4.75E+15,4.75E+15
0.016256,4.72E+15,4.72E+15,4.72E+15,4.72E+15
0.01651,4.69E+15,4.69E+15,4.69E+15,4.69E+15
0.016764,4.67E+15,4.67E+15,4.67E+15,4.67E+15
0.017018,4.63E+15,4.63E+15,4.63E+15,4.63E+15
0.017272,4.59E+15,4.59E+15,4.59E+15,4.59E+15
0.017526,4.55E+15,4.55E+15,4.55E+15,4.55E+15
0.01778,4.51E+15,4.51E+15,4.51E+15,4.51E+15
0.018034,4.46E+15,4.46E+15,4.46E+15,4.46E+15
0.018288,4.41E+15,4.41E+15,4.41E+15,4.41E+15
0.018542,4.36E+15,4.36E+15,4.36E+15,4.36E+15
0.018796,4.30E+15,4.30E+15,4.30E+15,4.30E+15
0.01905,4.24E+15,4.24E+15,4.24E+15,4.24E+15
0.019304,4.17E+15,4.17E+15,4.17E+15,4.17E+15
0.019558,4.09E+15,4.09E+15,4.09E+15,4.09E+15
0.019812,4.01E+15,4.01E+15,4.01E+15,4.01E+15
0.020066,3.91E+15,3.91E+15,3.91E+15,3.91E+15
0.02032,3.80E+15,3.80E+15,3.80E+15,3.80E+15
0.020574,3.65E+15,3.65E+15,3.65E+15,3.65E+15
0.020828,3.48E+15,3.48E+15,3.48E+15,3.48E+15
0.021082,3.27E+15,3.27E+15,3.27E+15,3.27E+15
0.021336,3.02E+15,3.02E+15,3.02E+15,3.02E+15
0.02159,2.78E+15,2.78E+15,2.78E+15,2.78E+15
0.021844,2.55E+15,2.55E+15,2.55E+15,2.55E+15
0.022098,2.22E+15,2.22E+15,2.22E+15,2.22E+15
0.022352,1.84E+15,1.84E+15,1.84E+15,1.84E+15
0.022606,1.58E+15,1.58E+15,1.58E+15,1.58E+15
0.02286,1.36E+15,1.36E+15,1.36E+15,1.36E+15
0.023114,1.15E+15,1.15E+15,1.15E+15,1.15E+15
0.023368,9.73E+14,9.73E+14,9.73E+14,9.73E+14
0.023622,8.48E+14,8.48E+14,8.48E+14,8.48E+14
0.023876,7.43E+14,7.43E+14,7.43E+14,7.43E+14
0.02413,6.59E+14,6.59E+14,6.59E+14,6.59E+14
0.024384,5.96E+14,5.96E+14,5.96E+14,5.96E+14
